"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"Enoteca Pinchiorri","Florence, Italy","€€€€ · Italian Contemporary","€€€€","Italian Contemporary",3,"3 Stars"
"Villa Crespi","Orta San Giulio, Italy","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Dal Pescatore","Runate, Italy","€€€€ · Italian Contemporary","€€€€","Italian Contemporary",3,"3 Stars"
"Da Vittorio","Brusaporto, Italy","€€€€ · Italian Contemporary","€€€€","Italian Contemporary",3,"3 Stars"
"La Pergola","Rome, Italy","€€€€ · Mediterranean Cuisine","€€€€","Mediterranean Cuisine",3,"3 Stars"
"Piazza Duomo","Alba, Italy","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Uliassi","Senigallia, Italy","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Le Calandre","Rubano, Italy","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Enrico Bartolini al Mudec","Milan, Italy","€€€€ · Creative","€€€€","Creative",3,"3 Stars"
"Mosu","Seoul, South Korea","₩₩₩₩ · Innovative","₩₩₩₩","Innovative",3,"3 Stars"
"Kashiwaya Osaka Senriyama","Osaka, Japan","¥¥¥¥ · Japanese","¥¥¥¥","Japanese",3,"3 Stars"
"Isshisoden Nakamura","Kyoto, Japan","¥¥¥¥ · Japanese","¥¥¥¥","Japanese",3,"3 Stars"
"Mizai","Kyoto, Japan","¥¥¥¥ · Japanese","¥¥¥¥","Japanese",3,"3 Stars"
"Hyotei","Kyoto, Japan","¥¥¥¥ · Japanese","¥¥¥¥","Japanese",3,"3 Stars"
"Maeda","Kyoto, Japan","¥¥¥¥ · Japanese","¥¥¥¥","Japanese",3,"3 Stars"
"Gion Sasaki","Kyoto, Japan","¥¥¥¥ · Japanese","¥¥¥¥","Japanese",3,"3 Stars"
"HAJIME","Osaka, Japan","¥¥¥¥ · Innovative","¥¥¥¥","Innovative",3,"3 Stars"
"Taian","Osaka, Japan","¥¥¥ · Japanese","¥¥¥","Japanese",3,"3 Stars"
"Kikunoi Honten","Kyoto, Japan","¥¥¥¥ · Japanese","¥¥¥¥","Japanese",3,"3 Stars"
