"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"Gasthaus Zur Fernsicht - Incantare","Heiden, Switzerland","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"La Brezza","Ascona, Switzerland","€€€€ · Mediterranean Cuisine","€€€€","Mediterranean Cuisine",2,"2 Stars"
"IGNIV by Andreas Caminada","Bad Ragaz, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"The Japanese Restaurant","Andermatt, Switzerland","€€€€ · Japanese Contemporary","€€€€","Japanese Contemporary",2,"2 Stars"
"La Table du Lausanne Palace","Lausanne, Switzerland","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"L'Atelier Robuchon","Geneva, Switzerland","€€€€ · French Contemporary","€€€€","French Contemporary",2,"2 Stars"
"La Table du Valrose","Rougemont, Switzerland","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"Sushi Masaki Saito","Toronto, Canada","$$$$ · Japanese","$$$$","Japanese",2,"2 Stars"
"Milka","Kranjska Gora, Slovenia","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Stand","Budapest, Hungary","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Platán Gourmet","Tata, Hungary","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Yu Zhi Lan","Chengdu, China","¥¥¥¥ · Sichuan","¥¥¥¥","Sichuan",2,"2 Stars"
"Xin Rong Ji","Chengdu, China","¥¥¥¥ · Taizhou","¥¥¥¥","Taizhou",2,"2 Stars"
"Molino de Urdániz","Taipei, Taiwan","$$$$ · Spanish Contemporary","$$$$","Spanish Contemporary",2,"2 Stars"
"Mudan","Taipei, Taiwan","$$$$ · Tempura","$$$$","Tempura",2,"2 Stars"
"logy","Taipei, Taiwan","$$$ · Asian Contemporary","$$$","Asian Contemporary",2,"2 Stars"
"L'Atelier de Joël Robuchon","Taipei, Taiwan","$$$$ · French Contemporary","$$$$","French Contemporary",2,"2 Stars"
"Liberté","Kaohsiung, Taiwan","$$$$ · Modern Cuisine","$$$$","Modern Cuisine",2,"2 Stars"
"RAW","Taipei, Taiwan","$$$$ · Innovative","$$$$","Innovative",2,"2 Stars"
"Hayato","Los Angeles, USA","$$$$ · Japanese","$$$$","Japanese",2,"2 Stars"
"Commis","Oakland, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"n/naka","Los Angeles, USA","$$$$ · Japanese","$$$$","Japanese",2,"2 Stars"
"Acquerello","San Francisco, USA","$$$$ · Italian","$$$$","Italian",2,"2 Stars"
"Providence","Hollywood, USA","$$$$ · Seafood","$$$$","Seafood",2,"2 Stars"
"Birdsong","San Francisco, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Sushi Ginza Onodera","West Hollywood, USA","$$$$ · Japanese","$$$$","Japanese",2,"2 Stars"
"Saison","San Francisco, USA","$$$$ · Californian","$$$$","Californian",2,"2 Stars"
"Lazy Bear","San Francisco, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Californios","San Francisco, USA","$$$$ · Mexican","$$$$","Mexican",2,"2 Stars"
"Mélisse","Santa Monica, USA","$$$$ · Modern French","$$$$","Modern French",2,"2 Stars"
"Harbor House","Elk, USA","$$$$ · Californian","$$$$","Californian",2,"2 Stars"
"Jiang by Chef Fei","Guangzhou, China","¥¥¥ · Cantonese","¥¥¥","Cantonese",2,"2 Stars"
"Imperial Treasure Fine Chinese Cuisine","Guangzhou, China","¥¥¥ · Cantonese","¥¥¥","Cantonese",2,"2 Stars"
"Taian Table","Guangzhou, China","¥¥¥¥ · European Contemporary","¥¥¥¥","European Contemporary",2,"2 Stars"
"Waku Ghin","Singapore","$$$$ · Japanese Contemporary","$$$$","Japanese Contemporary",2,"2 Stars"
"Cloudstreet","Singapore","$$$$ · Innovative","$$$$","Innovative",2,"2 Stars"
"Thevar","Singapore","$$$ · Innovative","$$$","Innovative",2,"2 Stars"
"Jaan by Kirk Westaway","Singapore","$$$ · British Contemporary","$$$","British Contemporary",2,"2 Stars"
"Shoukouwa","Singapore","$$$$ · Sushi","$$$$","Sushi",2,"2 Stars"
"Saint Pierre","Singapore","$$$$ · French Contemporary","$$$$","French Contemporary",2,"2 Stars"
"Henne Kirkeby Kro","Henne, Denmark","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"a|o|c","Copenhagen, Denmark","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Alchemist","Copenhagen, Denmark","€€€€ · Innovative","€€€€","Innovative",2,"2 Stars"
"RE-NAA","Stavanger, Norway","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Koan","Copenhagen, Denmark","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Aloë","Stockholm, Sweden","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"AIRA","Stockholm, Sweden","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Vollmers","Malmo, Sweden","€€€€ · Contemporary","€€€€","Contemporary",2,"2 Stars"
"Palace","Helsinki, Finland","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"KOKS","Leynavatn","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Jordnær","Copenhagen, Denmark","€€€€ · Seafood","€€€€","Seafood",2,"2 Stars"
"Frederikshøj","Aarhus, Denmark","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Kadeau Copenhagen","Copenhagen, Denmark","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Kong Hans Kælder","Copenhagen, Denmark","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"180° by Matthias Diether","Tallinn, Estonia","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Trèsind Studio","Dubai","$$$$ · Indian","$$$$","Indian",2,"2 Stars"
"Il Ristorante-Niko Romito","Dubai","$$$$ · Italian","$$$$","Italian",2,"2 Stars"
"STAY by Yannick Alléno","Dubai","$$$$ · French","$$$$","French",2,"2 Stars"
"akordu","Nara, Japan","¥¥¥ · Innovative","¥¥¥","Innovative",2,"2 Stars"
"Oryori Hanagaki","Nara, Japan","¥¥¥ · Japanese","¥¥¥","Japanese",2,"2 Stars"
"Tsukumo","Nara, Japan","¥¥¥ · Japanese","¥¥¥","Japanese",2,"2 Stars"
"NARA NIKON","Nara, Japan","¥¥¥ · Japanese","¥¥¥","Japanese",2,"2 Stars"
"L'Atelier de Joël Robuchon Miami","Miami, USA","$$$$ · French","$$$$","French",2,"2 Stars"
"Rùn","Hong Kong, Hong Kong SAR China","$$$ · Cantonese","$$$","Cantonese",2,"2 Stars"
"Octavium","Hong Kong, Hong Kong SAR China","$$$ · Italian","$$$","Italian",2,"2 Stars"
"Mizumi (Macau)","Macau","$$$$ · Japanese","$$$$","Japanese",2,"2 Stars"
"Wing Lei","Macau","$$$ · Cantonese","$$$","Cantonese",2,"2 Stars"
"Alain Ducasse at Morpheus","Macau","$$$$ · French Contemporary","$$$$","French Contemporary",2,"2 Stars"
"Lung King Heen","Hong Kong, Hong Kong SAR China","$$$ · Cantonese","$$$","Cantonese",2,"2 Stars"
"Bo Innovation","Hong Kong, Hong Kong SAR China","$$$$ · Innovative","$$$$","Innovative",2,"2 Stars"
"Sichuan Moon","Macau","$$$$ · Sichuan","$$$$","Sichuan",2,"2 Stars"
"Sun Tung Lok","Hong Kong, Hong Kong SAR China","$$ · Cantonese","$$","Cantonese",2,"2 Stars"
"L'Envol","Hong Kong, Hong Kong SAR China","$$$$ · French Contemporary","$$$$","French Contemporary",2,"2 Stars"
"Tin Lung Heen","Hong Kong, Hong Kong SAR China","$$$ · Cantonese","$$$","Cantonese",2,"2 Stars"
"Tate","Hong Kong, Hong Kong SAR China","$$$$ · Innovative","$$$$","Innovative",2,"2 Stars"
"Feng Wei Ju","Macau","$$ · Hunanese","$$","Hunanese",2,"2 Stars"
"Amber","Hong Kong, Hong Kong SAR China","$$$$ · French Contemporary","$$$$","French Contemporary",2,"2 Stars"
"Lai Ching Heen","Hong Kong","$$$ · Cantonese","$$$","Cantonese",2,"2 Stars"
"Arbor","Hong Kong","$$$ · Innovative","$$$","Innovative",2,"2 Stars"
"Ying Jee Club","Hong Kong","$$ · Cantonese","$$","Cantonese",2,"2 Stars"
"De Nieuwe Winkel","Nijmegen, Netherlands","€€€ · Organic","€€€","Organic",2,"2 Stars"
"De Kromme Watergang","Hoofdplaat, Netherlands","€€€€ · Country cooking","€€€€","Country cooking",2,"2 Stars"
"Flore","Amsterdam, Netherlands","€€€€ · Contemporary","€€€€","Contemporary",2,"2 Stars"
"Julemont","Wittem, Netherlands","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"De Bokkedoorns","Overveen, Netherlands","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"De Groene Lantaarn","Staphorst, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"De Lindenhof","Giethoorn, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Tribeca","Heeze, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"'t Nonnetje","Harderwijk, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"De Lindehof","Nuenen, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"De Treeswijkhoeve","Waalre, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Fred","Rotterdam, Netherlands","€€€€ · Creative French","€€€€","Creative French",2,"2 Stars"
"Aan de Poel","Amstelveen, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Ciel Bleu","Amsterdam, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Restaurant 212","Amsterdam, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Spectrum","Amsterdam, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Vinkeles","Amsterdam, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Parkheuvel","Rotterdam, Netherlands","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Brut172","Reijmerstok, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"FG - François Geurds","Rotterdam, Netherlands","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Gustav","Frankfurt on the Main, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Gourmetrestaurant Dichter","Rottach-Egern, Germany","€€€€ · French Contemporary","€€€€","French Contemporary",2,"2 Stars"
"AUGUST","Augsburg, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Hirschen","Sulzburg, Germany","€€€€ · Classic French","€€€€","Classic French",2,"2 Stars"
"Lafleur","Frankfurt on the Main, Germany","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"Atelier","Munich, Germany","€€€€ · Creative French","€€€€","Creative French",2,"2 Stars"
"AURA by Alexander Herrmann & Tobias Bätz","Wirsberg, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"PURS","Andernach, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"ammolite - The Lighthouse Restaurant","Rust, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"GästeHaus Klaus Erfort","Saarbrücken, Germany","€€€€ · Classic French","€€€€","Classic French",2,"2 Stars"
"Esplanade","Saarbrücken, Germany","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"Coeur D'Artichaut","Münster, Germany","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"Meierei Dirk Luther","Glücksburg, Germany","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"OPUS V","Mannheim, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Speisemeisterei","Stuttgart, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Vendôme","Bergisch Gladbach, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"EssZimmer","Munich, Germany","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"Söl'ring Hof","Rantum, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Steinheuers Restaurant Zur Alten Post","Bad Neuenahr-Ahrweiler, Germany","€€€€ · Classic French","€€€€","Classic French",2,"2 Stars"
"LOUIS restaurant","Saarlouis, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Le Pavillon","Bad Peterstal, Germany","€€€€ · Classic French","€€€€","Classic French",2,"2 Stars"
"Alois - Dallmayr Fine Dining","Munich, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Essigbrätlein","Nuremberg, Germany","€€€€ · Innovative","€€€€","Innovative",2,"2 Stars"
"Luce d'Oro","Krün, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Lakeside","Hamburg, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Ophelia","Constance, Germany","€€€€ · Creative French","€€€€","Creative French",2,"2 Stars"
"Falco","Leipzig, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Haerlin","Hamburg, Germany","€€€€ · Creative French","€€€€","Creative French",2,"2 Stars"
"etz","Nuremberg, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"100/200 Kitchen","Hamburg, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Jante","Hanover, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"sein","Karlsruhe, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Tantris","Munich, Germany","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"L.A. Jordan","Deidesheim, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Ox & Klee","Cologne, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"bianc","Hamburg, Germany","€€€€ · Mediterranean Cuisine","€€€€","Mediterranean Cuisine",2,"2 Stars"
"Ösch Noir","Donaueschingen, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Lorenz Adlon Esszimmer","Berlin, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Obendorfers Eisvogel","Neunburg vorm Wald, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Tim Raue","Berlin, Germany","€€€€ · Asian","€€€€","Asian",2,"2 Stars"
"Le Cerf","Zweiflingen, Germany","€€€€ · Classic French","€€€€","Classic French",2,"2 Stars"
"FACIL","Berlin, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Horváth","Berlin, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Votum","Hanover, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Mühle","Schluchsee, Germany","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"ES:SENZ","Grassau, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Courtier","Weissenhaus, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"CODA Dessert Dining","Berlin, Germany","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Tohru in der Schreiberei","Munich, Germany","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Alex Dilling at Hotel Café Royal","London, United Kingdom","££££ · Modern French","££££","Modern French",2,"2 Stars"
"Ynyshir","Machynlleth, United Kingdom","££££ · Creative","££££","Creative",2,"2 Stars"
"The Ledbury","London, United Kingdom","££££ · Modern Cuisine","££££","Modern Cuisine",2,"2 Stars"
"Da Terra","London, United Kingdom","££££ · Creative","££££","Creative",2,"2 Stars"
"A. Wong","London, United Kingdom","££££ · Chinese","££££","Chinese",2,"2 Stars"
"Le Manoir aux Quat' Saisons, a Belmond Hotel","Great Milton, United Kingdom","££££ · French","££££","French",2,"2 Stars"
"Hand and Flowers","Marlow, United Kingdom","££££ · Modern British","££££","Modern British",2,"2 Stars"
"Midsummer House","Cambridge, United Kingdom","££££ · Creative","££££","Creative",2,"2 Stars"
"Le Gavroche","London, United Kingdom","££££ · French","££££","French",2,"2 Stars"
"Andrew Fairlie at Gleneagles","Auchterarder, United Kingdom","££££ · Modern French","££££","Modern French",2,"2 Stars"
"Raby Hunt","Summerhouse, United Kingdom","££££ · Modern British","££££","Modern British",2,"2 Stars"
"Restaurant Sat Bains","Nottingham, United Kingdom","££££ · Creative","££££","Creative",2,"2 Stars"
"Dinner by Heston Blumenthal","London, United Kingdom","££££ · Traditional British","££££","Traditional British",2,"2 Stars"
"Patrick Guilbaud","Dublin City, Ireland","$$$$ · Modern French","$$$$","Modern French",2,"2 Stars"
"dede","Baltimore, Ireland","$$$$ · Turkish","$$$$","Turkish",2,"2 Stars"
"Ikoyi","London, United Kingdom","££££ · Creative","££££","Creative",2,"2 Stars"
"The Clove Club","London, United Kingdom","££££ · Creative","££££","Creative",2,"2 Stars"
"Kitchen Table","London, United Kingdom","££££ · Modern Cuisine","££££","Modern Cuisine",2,"2 Stars"
"Claude Bosi at Bibendum","London, United Kingdom","££££ · French","££££","French",2,"2 Stars"
"Moor Hall","Aughton, United Kingdom","££££ · Modern British","££££","Modern British",2,"2 Stars"
"Liath","Blackrock, Ireland","$$$$ · Creative","$$$$","Creative",2,"2 Stars"
"La Dame de Pic London","London, United Kingdom","££££ · Modern French","££££","Modern French",2,"2 Stars"
"Story","London, United Kingdom","££££ · Modern Cuisine","££££","Modern Cuisine",2,"2 Stars"
"Chapter One by Mickael Viljanen","Dublin City, Ireland","$$$$ · Modern Cuisine","$$$$","Modern Cuisine",2,"2 Stars"
"La Villa Lorraine by Yves Mattagne","Brussels, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Colette - De Vijvers","Averbode, Belgium","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"La Durée","Izegem, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"d'Eugénie à Emilie","Baudour, Belgium","€€€€ · Classic French","€€€€","Classic French",2,"2 Stars"
"Cuchara","Lommel, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"The Jane","Antwerpen, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Château du Mylord","Ellezelles, Belgium","€€€€ · Contemporary","€€€€","Contemporary",2,"2 Stars"
"De Jonkman","Sint-Kruis, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Ma Langue Sourit","Oetrange, Luxembourg","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Nuance","Duffel, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Hertog Jan at Botanic","Antwerpen, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"L'Eau Vive","Arbre, Belgium","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"Le Chalet de la Forêt","Uccle, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"L'Air du Temps","Liernu, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Slagmolen","Opglabbeek, Belgium","€€€€ · Traditional Cuisine","€€€€","Traditional Cuisine",2,"2 Stars"
"La Paix","Anderlecht, Belgium","€€€€ · Asian Influences","€€€€","Asian Influences",2,"2 Stars"
"Castor","Beveren-Leie, Belgium","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"La Table de Maxime","Our, Belgium","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Ralf Berendsen","Neerharen, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Bartholomeus","Heist, Belgium","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Vrijmoed","Gent, Belgium","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Bozar Restaurant","Brussels, Belgium","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"L'Auberge de Montmin","Talloires-Montmin, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Le Parc Les Crayères","Reims, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"La Table de Pavie","Saint-Emilion, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Paul Bocuse","Collonges-au-Mont-d'Or, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"La Chèvre d'Or","Èze, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Takao Takano","Lyon, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Le Neuvième Art","Lyon, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Christopher Coutanceau","La Rochelle, France","€€€€ · Seafood","€€€€","Seafood",2,"2 Stars"
"Maison Rostang","Paris, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"Casadelmar","Porto-Vecchio, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Cyril Attrazic","Aumont-Aubrac, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"William Frachot","Dijon, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Mère Brazier","Lyon, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"Relais de la Poste","Magescq, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"Le Chabichou by Stéphane Buron","Courchevel, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"La Table de Yoann Conte","Veyrier-du-Lac, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Le Coquillage","Saint-Méloir-des-Ondes, France","€€€€ · Seafood","€€€€","Seafood",2,"2 Stars"
"Christophe Hay - Fleur de Loire","Blois, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Table - Bruno Verjus","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"La Table de Franck Putelat","Carcassonne, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Le Grand Restaurant - Jean-François Piège","Paris, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Sur Mesure par Thierry Marx","Paris, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Guy Savoy","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"La Villa Archange","Le Cannet, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Le Gabriel - La Réserve Paris","Paris, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Le Taillevent","Paris, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",2,"2 Stars"
"Palais Royal Restaurant","Paris, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Les Morainières","Jongieux, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"La Merise","Laubach, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"L'Amaryllis","Saint-Rémy, France","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
