"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"TURK FATİH TUTAK","Istanbul, Türkiye","₺₺₺₺ · Modern Cuisine","₺₺₺₺","Modern Cuisine",2,"2 Stars"
"Jônt","Washington, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"minibar","Washington, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Pineapple and Pearls","Washington, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"odo","New York, USA","$$$$ · Japanese","$$$$","Japanese",2,"2 Stars"
"Blue Hill at Stone Barns","Tarrytown, USA","$$$$ · American","$$$$","American",2,"2 Stars"
"Saga","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"The Modern","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Sushi Noz","New York, USA","$$$$ · Japanese","$$$$","Japanese",2,"2 Stars"
"Atomix","New York, USA","$$$$ · Korean","$$$$","Korean",2,"2 Stars"
"Daniel","New York, USA","$$$$ · French","$$$$","French",2,"2 Stars"
"Gabriel Kreuther","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Jean-Georges","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Atera","New York, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Al Coro","New York, USA","$$$$ · Italian","$$$$","Italian",2,"2 Stars"
"Aska","New York, USA","$$$$ · Scandinavian","$$$$","Scandinavian",2,"2 Stars"
"Aquavit","New York, USA","$$$$ · Scandinavian","$$$$","Scandinavian",2,"2 Stars"
"Jungsik","New York, USA","$$$$ · Korean","$$$$","Korean",2,"2 Stars"
"Oriole","Chicago, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Moody Tongue","Chicago, USA","$$$$ · Contemporary","$$$$","Contemporary",2,"2 Stars"
"Ever","Chicago, USA","$$$$ · Creative","$$$$","Creative",2,"2 Stars"
"Delta","Athens, Greece","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Jingji","Beijing, China","¥¥¥¥ · Beijing Cuisine","¥¥¥¥","Beijing Cuisine",2,"2 Stars"
"Shanghai Cuisine","Beijing, China","¥¥¥ · Shanghainese","¥¥¥","Shanghainese",2,"2 Stars"
"Anne-Sophie Pic","Lausanne, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"The Restaurant","Zurich, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"7132 Silver","Vals, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"roots","Basel, Switzerland","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Mammertsberg","Freidorf, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"IGNIV Zürich by Andreas Caminada","Zurich, Switzerland","€€€€ · Sharing","€€€€","Sharing",2,"2 Stars"
"Widder Restaurant","Zurich, Switzerland","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"La Brezza","Arosa, Switzerland","€€€ · Modern Cuisine","€€€","Modern Cuisine",2,"2 Stars"
"Pavillon","Zurich, Switzerland","€€€€ · Classic French","€€€€","Classic French",2,"2 Stars"
"focus ATELIER","Vitznau, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Taverne zum Schäfli","Wigoltingen, Switzerland","€€€€ · Classic French","€€€€","Classic French",2,"2 Stars"
"Ecco St. Moritz","Saint Moritz, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Ecco","Ascona, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Stucki - Tanja Grandits","Basel, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Magdalena","Schwyz, Switzerland","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Skin's - the restaurant","Lenzburg, Switzerland","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",2,"2 Stars"
"Einstein Gourmet","Sankt Gallen, Switzerland","€€€€ · Creative","€€€€","Creative",2,"2 Stars"
"Maison Wenger","Le Noirmont, Switzerland","€€€€ · Modern French","€€€€","Modern French",2,"2 Stars"
"Da Vittorio","Saint Moritz, Switzerland","€€€€ · Italian","€€€€","Italian",2,"2 Stars"
