"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"Gaya par Pierre Gagnaire","Paris, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Table d'Uzès","Uzès, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Avel Vor","Port-Louis, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Allium","Quimper, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"Auberge du Pont","Pont-du-Château, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Divellec","Paris, France","€€€€ · Seafood","€€€€","Seafood",1,"1 Star"
"Trente-Trois","Paris, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Table de La Butte","Plouider, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Tomy & Co","Paris, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Villa de l'Étang Blanc","Seignosse, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Akrame","Paris, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"La Chapelle - Château Saint-Jean","Montluçon, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Miraflores","Lyon, France","€€€€ · Peruvian","€€€€","Peruvian",1,"1 Star"
"Aida","Paris, France","€€€€ · Japanese","€€€€","Japanese",1,"1 Star"
"Thierry Schwartz - Le Restaurant","Obernai, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"La Magdeleine - Mathias Dandine","Gémenos, France","€€€€ · Mediterranean Cuisine","€€€€","Mediterranean Cuisine",1,"1 Star"
"Villa Salone","Salon-de-Provence, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Promenade","Le Petit-Pressigny, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Les Hauts de Loire","Onzain, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",1,"1 Star"
"L'Éveil des Sens","Mayenne, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Alcyone","Marseille, France","€€€€ · Mediterranean Cuisine","€€€€","Mediterranean Cuisine",1,"1 Star"
"La Signoria","Calvi, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"La Table de l'Alpaga","Megève, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Le Faham by Kelly Rangama","Paris, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Jean-Luc Tartarin","Le Havre, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"Reflet d'Obione","Montpellier, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Colette","Saint-Tropez, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"MoSuke","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"L'Arrivage","Sète, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"LuluRouget","Nantes, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Leclere","Montpellier, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Faventia","Tourrettes, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Les Reflets","La Roche-sur-Yon, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Kléber - La Maison Bonnet","Grane, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Lasserre","Paris, France","€€€€ · Classic Cuisine","€€€€","Classic Cuisine",1,"1 Star"
"Rustique","Lyon, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"Auberge du Vert Mont","Boeschepe, France","€€ · Creative","€€","Creative",1,"1 Star"
"Choko Ona","Espelette, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"En Marge","Aureville, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Shabour","Paris, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"La Huchette","Replonges, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Quai des Saveurs","Hagondange, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Anona","Paris, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Maison Hache","Eygalières, France","€€€€ · Provençal","€€€€","Provençal",1,"1 Star"
"JAN","Nice, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"L'Aromate","Nice, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Le Manoir de la Régate","Nantes, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"L'Atlantide 1874 - Maison Guého","Nantes, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Restaurant De Lauzun","Pézenas, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Ekaitza","Ciboure, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Vieux Pont","Belcastel, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Restaurant des Rois - La Réserve de Beaulieu","Beaulieu-sur-Mer, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Jérôme Nutile","Nîmes, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Le Chantecler","Nice, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"La Réserve Rimbaud","Montpellier, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Les Sources de Fontbelle","Angoulême, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"L'Arbre au Soleil","Le Lavandou, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Skab","Nîmes, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Domaine du Colombier","Malataverne, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"La Bastide de Moustiers","Moustiers-Sainte-Marie, France","€€€ · Provençal","€€€","Provençal",1,"1 Star"
"La Nouvelle Auberge","Wihr-au-Val, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Robe","Montaigu, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Les Clefs d'Argent","Mont-de-Marsan, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"Hedone","Toulouse, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Le Royal","Champillon, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Aux Terrasses","Tournus, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Sergent Recruteur","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Signature","Marseille, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Solstice","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
